backbone_id,sample_id,matched_CA_atom_count,global_ca_rmsd_A,global_backbone_rmsd_after_CA_fit_A,pocket_ca_rmsd_after_CA_fit_A,pocket_backbone_rmsd_after_CA_fit_A,ref_ca_rg_A,pred_ca_rg_A,delta_ca_rg_A,projected_min_protein_ligand_distance_A,projected_delta_ligand_clash_pair_count,projected_ligand_clash_pair_count_backbone,projected_ligand_clash_pair_count_sidechain,reference_contact_position_count,projected_contact_position_count,projected_contact_recovery_percent,projected_new_contact_percent,reference_hydrophobic_C_contact_pair_count,projected_hydrophobic_C_contact_pair_count,pred_mean_CA_Bfactor,pred_pocket_mean_CA_Bfactor,d_index,candidate_id,half_life_E_coli_in_vivo,instability_index,ligand_interface_sequence_recovery,sequence_recovery,stability_prediction,Sequence ID,solubility,usability,ligand_clash_total,is_stable,is_clash_free,is_full_contact_recovery,strict_gate_pass,conditional_gate_pass,accepted_representative,decision_status,selection_pool_rank,decision_note
buried_0_model_6,8,104,1.149,1.1275,1.3007,1.3227,12.5329,12.4919,-0.041,0.3332,8,0,8,15,16,93.3333,12.5,9,44,0.8578,0.8529,7,buried_0_model_6_7,>10 h,54.22,0.2105,0.375,Potentially unstable,buried_0_model_6_b0_d7,0.7319358563992424,0.3756730871393585,8,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,9,104,1.3378,1.3516,1.4935,1.5082,12.5329,12.2807,-0.2522,0.3518,17,1,16,15,20,93.3333,30.0,9,78,0.8308,0.8148,8,buried_0_model_6_8,>10 h,35.51,0.2632,0.4231,Stable,buried_0_model_6_b0_d8,0.5696185699348956,0.2435786783812586,17,True,False,False,False,False,False,Rejected_repair_required,3.0,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,10,104,1.6194,1.5759,1.6687,1.6205,12.5329,12.3626,-0.1703,1.2779,4,1,3,15,18,80.0,33.3333,9,72,0.8391,0.8249,9,buried_0_model_6_9,>10 h,51.37,0.2105,0.3654,Potentially unstable,buried_0_model_6_b0_d9,0.9159911057608804,0.5424857879412678,4,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_7,1,104,0.9557,0.9781,0.6952,0.6781,12.4553,12.3542,-0.1011,2.0294,0,0,0,20,20,95.0,5.0,28,30,0.8937,0.8956,0,buried_0_model_7_0,>10 h,26.21,0.6522,0.6058,Stable,buried_0_model_7_b0_d0,0.8298215950677928,0.4593640215564815,0,True,True,False,False,True,True,Conditional_selected,1.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,2,104,0.5907,0.5885,0.6735,0.6611,12.4553,12.3716,-0.0837,1.9881,1,0,1,20,20,95.0,5.0,28,35,0.8969,0.8984,1,buried_0_model_7_1,>10 h,25.64,0.6522,0.5865,Stable,buried_0_model_7_b0_d1,0.8236233652171052,0.454044047034276,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,3,104,0.5894,0.5823,0.5529,0.5381,12.4553,12.3947,-0.0607,2.1251,0,0,0,20,21,95.0,9.5238,28,21,0.8978,0.8989,2,buried_0_model_7_2,>10 h,33.35,0.5217,0.5481,Stable,buried_0_model_7_b0_d2,0.8879953581438306,0.5527954456410242,0,True,True,False,False,True,False,Conditional_selected,6.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,4,104,0.5831,0.579,0.5924,0.5762,12.4553,12.3967,-0.0586,1.8614,1,0,1,20,21,95.0,9.5238,28,30,0.8982,0.9009,3,buried_0_model_7_3,>10 h,34.92,0.5217,0.5577,Stable,buried_0_model_7_b0_d3,0.8608369277039861,0.4829984960509996,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,5,104,0.562,0.5649,0.6357,0.628,12.4553,12.3626,-0.0927,2.0201,0,0,0,20,20,95.0,5.0,28,38,0.8963,0.8977,4,buried_0_model_7_4,>10 h,22.1,0.6087,0.5962,Stable,buried_0_model_7_b0_d4,0.8623541149517333,0.4604105975020445,0,True,True,False,False,True,False,Conditional_selected,2.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,6,104,0.5639,0.56,0.6353,0.6231,12.4553,12.3351,-0.1202,2.0093,0,0,0,20,21,95.0,9.5238,28,44,0.8925,0.8938,5,buried_0_model_7_5,>10 h,22.66,0.5652,0.6346,Stable,buried_0_model_7_b0_d5,0.8179992522759274,0.4821023275284931,0,True,True,False,False,True,False,Conditional_selected,5.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,7,104,0.566,0.5619,0.629,0.6204,12.4553,12.4005,-0.0548,2.1096,0,0,0,20,20,90.0,10.0,28,31,0.9063,0.9084,6,buried_0_model_7_6,>10 h,28.91,0.5652,0.6154,Stable,buried_0_model_7_b0_d6,0.8584029459806635,0.5249954966062533,0,True,True,False,False,True,False,Conditional_selected,7.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,8,104,0.5705,0.5685,0.6282,0.6213,12.4553,12.384,-0.0713,2.032,0,0,0,20,21,95.0,9.5238,28,29,0.9026,0.9041,7,buried_0_model_7_7,>10 h,26.81,0.5652,0.6058,Stable,buried_0_model_7_b0_d7,0.8263173877282467,0.450102933720845,0,True,True,False,False,True,False,Conditional_selected,4.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,9,104,0.5914,0.5936,0.6417,0.6294,12.4553,12.3899,-0.0654,2.0425,0,0,0,20,20,95.0,5.0,28,36,0.9005,0.9027,8,buried_0_model_7_8,>10 h,36.0,0.6087,0.5385,Stable,buried_0_model_7_b0_d8,0.8946562062716026,0.5657052155385871,0,True,True,False,False,True,False,Conditional_selected,3.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_7,10,104,0.5905,0.5853,0.6671,0.6547,12.4553,12.3691,-0.0863,1.9047,1,1,0,20,20,95.0,5.0,28,41,0.8836,0.8857,9,buried_0_model_7_9,>10 h,25.85,0.6522,0.625,Stable,buried_0_model_7_b0_d9,0.8448898608593793,0.4735244806717099,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,1,104,0.6095,0.6232,0.6444,0.6472,13.771,13.5885,-0.1825,1.9667,1,0,1,18,17,83.3333,11.7647,23,23,0.916,0.9244,0,buried_0_model_9_0,>10 h,32.08,0.35,0.4712,Stable,buried_0_model_9_b0_d0,0.8975572287521268,0.7022558139321485,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,2,104,0.4432,0.4586,0.4999,0.4952,13.771,13.647,-0.1241,2.3395,0,0,0,18,18,88.8889,11.1111,23,32,0.9205,0.9286,1,buried_0_model_9_1,>10 h,26.88,0.3,0.4327,Stable,buried_0_model_9_b0_d1,0.907481215168454,0.74362730797606,0,True,True,False,False,True,False,Conditional_selected,2.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,3,104,0.5491,0.5561,0.6032,0.6006,13.771,13.6376,-0.1334,2.1508,0,0,0,18,18,88.8889,11.1111,23,33,0.8696,0.8752,2,buried_0_model_9_2,>10 h,56.11,0.4,0.4327,Potentially unstable,buried_0_model_9_b0_d2,0.9042089998005022,0.7323850063211583,0,False,True,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,4,104,0.5582,0.5594,0.5904,0.5813,13.771,13.6204,-0.1506,2.2069,0,0,0,18,20,94.4444,15.0,23,34,0.9258,0.9333,3,buried_0_model_9_3,>10 h,52.21,0.3,0.4808,Potentially unstable,buried_0_model_9_b0_d3,0.8687220633862645,0.5638514193416343,0,False,True,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,5,104,0.648,0.6734,0.5944,0.5823,13.771,13.6579,-0.1131,2.0666,0,0,0,18,20,94.4444,15.0,23,41,0.9231,0.9299,4,buried_0_model_9_4,>10 h,44.61,0.4,0.4519,Potentially unstable,buried_0_model_9_b0_d4,0.9068158013155692,0.7467475633320049,0,False,True,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,6,104,0.612,0.6251,0.7048,0.7012,13.771,13.6056,-0.1655,1.7944,1,0,1,18,19,94.4444,10.5263,23,49,0.9203,0.9283,5,buried_0_model_9_5,>10 h,37.67,0.3,0.4231,Stable,buried_0_model_9_b0_d5,0.899308110874766,0.741392921674326,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,7,104,0.609,0.6111,0.6275,0.6278,13.771,13.6814,-0.0897,1.9799,2,0,2,18,20,94.4444,15.0,23,38,0.932,0.9388,6,buried_0_model_9_6,>10 h,35.57,0.4,0.4904,Stable,buried_0_model_9_b0_d6,0.8841062454079746,0.6819235888575413,2,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,8,104,0.5285,0.541,0.5188,0.5234,13.771,13.6565,-0.1145,1.9629,1,0,1,18,18,88.8889,11.1111,23,35,0.922,0.9299,7,buried_0_model_9_7,>10 h,37.77,0.35,0.4327,Stable,buried_0_model_9_b0_d7,0.8916539395916085,0.7095540094931022,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,9,104,0.8602,0.8862,0.6432,0.6523,13.771,13.7642,-0.0069,2.1852,0,0,0,18,18,88.8889,11.1111,23,35,0.9102,0.9179,8,buried_0_model_9_8,>10 h,23.54,0.35,0.4423,Stable,buried_0_model_9_b0_d8,0.9076916434586728,0.7512296390945583,0,True,True,False,False,True,True,Conditional_selected,1.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_9,10,104,1.4352,1.4333,1.2573,1.2541,13.771,13.6624,-0.1086,1.5309,2,0,2,18,17,83.3333,11.7647,23,75,0.9078,0.9157,9,buried_0_model_9_9,>10 h,45.41,0.35,0.4038,Potentially unstable,buried_0_model_9_b0_d9,0.9108724071366804,0.760846611622193,2,False,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,1,126,0.5932,0.5875,0.522,0.5235,13.6243,13.7119,0.0876,1.9774,1,0,1,18,19,88.8889,15.7895,29,25,0.8776,0.8849,0,buried_1_model_0_0,2 min,24.53,0.4783,0.4444,Stable,buried_1_model_0_b0_d0,0.9203427060074808,0.7664372067990876,1,True,False,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,2,126,0.5889,0.582,0.5814,0.5875,13.6243,13.6826,0.0583,2.3381,0,0,0,18,20,94.4444,15.0,29,21,0.8785,0.8865,1,buried_1_model_0_1,2 min,41.66,0.4348,0.4603,Potentially unstable,buried_1_model_0_b0_d1,0.8701323815666857,0.5223008454785666,0,False,True,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,3,126,0.4363,0.4416,0.4046,0.406,13.6243,13.7059,0.0816,2.1668,0,0,0,18,20,94.4444,15.0,29,27,0.8834,0.8921,2,buried_1_model_0_2,2 min,26.03,0.5652,0.4921,Stable,buried_1_model_0_b0_d2,0.92490939651869,0.8011595443247094,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,4,126,0.4954,0.5041,0.5014,0.5187,13.6243,13.6804,0.0561,2.4456,0,0,0,18,21,100.0,14.2857,29,22,0.8805,0.8899,3,buried_1_model_0_3,2 min,44.61,0.3913,0.4127,Potentially unstable,buried_1_model_0_b0_d3,0.9052066902906016,0.6420185757203745,0,False,True,True,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,5,126,5.6699,5.6604,4.3132,4.1912,13.6243,13.9889,0.3646,0.3824,44,8,36,18,20,72.2222,35.0,29,137,0.8004,0.802,4,buried_1_model_0_4,2 min,22.75,0.4783,0.3889,Stable,buried_1_model_0_b0_d4,0.9060392720579364,0.6302848770015655,44,True,False,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,6,126,0.5202,0.5193,0.4809,0.4944,13.6243,13.6777,0.0534,2.3627,0,0,0,18,20,94.4444,15.0,29,26,0.8749,0.8835,5,buried_1_model_0_5,2 min,23.74,0.5217,0.4365,Stable,buried_1_model_0_b0_d5,0.9352703665728764,0.6250741712469363,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,7,126,0.6382,0.6386,0.5325,0.5557,13.6243,13.7357,0.1114,2.5818,0,0,0,18,18,88.8889,11.1111,29,24,0.8863,0.8948,6,buried_1_model_0_6,2 min,39.77,0.6087,0.4762,Stable,buried_1_model_0_b0_d6,0.880438946319618,0.665555835873928,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,8,126,0.5075,0.501,0.4457,0.4451,13.6243,13.7215,0.0972,2.1025,0,0,0,18,23,100.0,21.7391,29,21,0.8751,0.8834,7,buried_1_model_0_7,2 min,33.27,0.4348,0.4365,Stable,buried_1_model_0_b0_d7,0.9139999743225988,0.7570547107206858,0,True,True,True,True,True,True,Strict_selected,1.0,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,9,126,0.4707,0.4695,0.4047,0.4134,13.6243,13.6706,0.0463,2.3987,0,0,0,18,20,94.4444,15.0,29,27,0.8752,0.8821,8,buried_1_model_0_8,2 min,31.5,0.5652,0.4444,Stable,buried_1_model_0_b0_d8,0.9277539722179744,0.8205616622092329,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_0,10,126,0.4454,0.4462,0.4152,0.4262,13.6243,13.6762,0.0519,2.348,0,0,0,18,21,94.4444,19.0476,29,22,0.8729,0.8788,9,buried_1_model_0_9,2 min,37.34,0.3043,0.3968,Stable,buried_1_model_0_b0_d9,0.931987527241018,0.792232594241649,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_1,1,126,0.5865,0.5736,0.5256,0.49,13.3814,13.3992,0.0178,2.2636,0,0,0,20,18,80.0,11.1111,36,32,0.849,0.8583,0,buried_1_model_1_0,>10 h,17.24,0.6818,0.5476,Stable,buried_1_model_1_b0_d0,0.8697853604610428,0.5189431326584769,0,True,True,False,False,True,True,Conditional_selected,1.0,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_1,2,126,0.498,0.4856,0.3797,0.3687,13.3814,13.3304,-0.051,1.3748,1,0,1,20,17,75.0,11.7647,36,37,0.8499,0.862,1,buried_1_model_1_1,>10 h,15.42,0.5455,0.5317,Stable,buried_1_model_1_b0_d1,0.8935463920624324,0.5508398442374789,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_1,3,126,0.5999,0.5916,0.5862,0.5703,13.3814,13.3618,-0.0196,1.5465,1,0,1,20,17,75.0,11.7647,36,38,0.8442,0.8559,2,buried_1_model_1_2,>10 h,6.92,0.6364,0.5635,Stable,buried_1_model_1_b0_d2,0.8949907031997011,0.5701590304790799,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_1,4,126,0.5706,0.5571,0.4618,0.446,13.3814,13.3313,-0.0501,1.2779,2,0,2,20,18,85.0,5.5556,36,39,0.851,0.857,3,buried_1_model_1_3,>10 h,11.22,0.5909,0.5635,Stable,buried_1_model_1_b0_d3,0.8534056351681076,0.5342775645554896,2,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_1_model_1,5,126,0.5615,0.5535,0.5717,0.5423,13.3814,13.3046,-0.0768,1.7934,1,0,1,20,19,85.0,10.5263,36,37,0.8625,0.8686,4,buried_1_model_1_4,>10 h,7.85,0.5909,0.5159,Stable,buried_1_model_1_b0_d4,0.8726270299521035,0.5471829710176206,1,True,False,False,False,False,False,Conditional_selected,,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
