backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_3_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_3_model_4_7,buried_3_model_4_5,1,94.1176,0.5789,0.4759,0.9471,33.07,Stable,>10 h,0.928681778512376,0.7211330386455002
buried_3_model_5,Strict_selected,buried_3_model_5_4,buried_3_model_5_b0_d4,5,2,9,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5333,0.6,0.8598,16.61,Stable,>10 h,0.7236559732092683,0.356689870652242
buried_3_model_6,Conditional_selected,buried_3_model_6_2,buried_3_model_6_b0_d2,3,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,84.2105,0.45,0.4966,0.608,27.02,Stable,>10 h,0.8091124463135868,0.4729155347411053
buried_3_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_3_model_7_4,,0,88.8889,0.55,0.4621,0.4091,40.91,Potentially unstable,>10 h,0.8273925330015446,0.5721217819167095
buried_4_model_0,Strict_selected,buried_4_model_0_8,buried_4_model_0_b0_d8,9,1,1,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4118,0.4035,0.4776,25.12,Stable,>10 h,0.8908021183200479,0.5998877545253652
buried_4_model_1,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_4_model_1_4,buried_4_model_1_2,0,93.75,0.625,0.4035,1.1026,46.04,Potentially unstable,>10 h,0.7975975068557679,0.4672093430725468
buried_4_model_3,Conditional_selected,buried_4_model_3_7,buried_4_model_3_b0_d7,8,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.7368,0.6364,0.4737,0.3562,33.57,Stable,>10 h,0.834869460312657,0.4712511724425859
buried_4_model_4,Conditional_selected,buried_4_model_4_6,buried_4_model_4_b0_d6,7,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.3684,0.3684,0.572,32.63,Stable,>10 h,0.904954381882154,0.744323937660968
buried_4_model_5,Conditional_selected,buried_4_model_5_0,buried_4_model_5_b0_d0,1,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,88.8889,0.4286,0.3947,0.6559,21.37,Stable,>10 h,0.8969851423798675,0.6583940676833254
buried_4_model_6,Conditional_selected,buried_4_model_6_6,buried_4_model_6_b0_d6,7,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,93.3333,0.6,0.4737,0.8642,25.73,Stable,>10 h,0.7795132649448997,0.4537964139117365
buried_4_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_4_model_7_0,buried_4_model_7_6,18,78.5714,0.2143,0.4825,2.1176,28.55,Stable,>10 h,0.9262346300786806,0.6897941244531227
buried_4_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_4_model_9_1,buried_4_model_9_2,14,94.1176,0.5556,0.4825,1.8177,27.21,Stable,>10 h,0.8694594237415048,0.5090559724234007
buried_5_model_0,Conditional_selected,buried_5_model_0_4,buried_5_model_0_b0_d4,5,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,75.0,0.7143,0.5841,0.4128,10.96,Stable,>10 h,0.8912346436954695,0.5447063223862338
buried_5_model_1,Strict_selected,buried_5_model_1_3,buried_5_model_1_b0_d3,4,1,2,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.6667,0.5664,0.8004,10.14,Stable,>10 h,0.909331153228062,0.5715762508555088
buried_5_model_3,Conditional_selected,buried_5_model_3_5,buried_5_model_3_b0_d5,6,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90;pocket_RMSD_above_1A,Docking_first_review_before_MD,,,,0,88.2353,0.4211,0.4071,2.0665,39.77,Stable,>10 h,0.7974429281034545,0.4235110416312292
buried_5_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_4_6,buried_5_model_4_7,4,78.9474,0.4286,0.3982,0.5918,36.54,Stable,>10 h,0.8453296870722278,0.4969484930203042
buried_5_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_5_1,buried_5_model_5_7,10,87.5,0.4091,0.5664,1.5643,7.09,Stable,>10 h,0.7675632145759292,0.4950631892468463
buried_5_model_6,Strict_selected,buried_5_model_6_7,buried_5_model_6_b0_d7,8,1,4,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5,0.4956,0.4987,12.66,Stable,>10 h,0.932158988515708,0.6499341836966592
buried_5_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_7_8,buried_5_model_7_5,1,100.0,0.4211,0.5221,0.7545,22.79,Stable,>10 h,0.8865212612342864,0.5563004280622984
buried_5_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_8_2,buried_5_model_8_0,1,94.7368,0.45,0.4248,0.4108,34.58,Stable,>10 h,0.9014932749999434,0.5973586371465028
buried_5_model_9,Strict_selected,buried_5_model_9_6,buried_5_model_9_b0_d6,7,7,9,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5714,0.5664,0.4942,28.13,Stable,>10 h,0.9168022499013108,0.6453372387764814
buried_6_model_0,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_6_model_0_9,buried_6_model_0_0,0,93.75,0.3182,0.4812,0.6143,52.96,Potentially unstable,2 min,0.8910534238829533,0.6248355498284571
buried_6_model_1,Conditional_selected,buried_6_model_1_4,buried_6_model_1_b0_d4,5,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.5294,0.5789,0.487,37.12,Stable,>10 h,0.8860681303286337,0.5944910471167761
buried_6_model_2,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_2_5,buried_6_model_2_4,3,73.6842,0.5238,0.594,1.7642,22.94,Stable,>10 h,0.879887311453102,0.5505212408550594
buried_6_model_3,Conditional_selected,buried_6_model_3_1,buried_6_model_3_b0_d1,2,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,84.2105,0.45,0.4662,0.6562,34.03,Stable,>10 h,0.8698003007370942,0.5115843240160691
buried_6_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_4_2,buried_6_model_4_6,2,86.6667,0.4737,0.5414,0.727,27.97,Stable,>10 h,0.9305993481639376,0.6136850931123182
buried_6_model_5,Strict_selected,buried_6_model_5_2,buried_6_model_5_b0_d2,3,1,7,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5,0.4436,0.3515,30.84,Stable,>10 h,0.801003324935438,0.3988875638642966
buried_6_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_6_2,buried_6_model_6_4,10,38.8889,0.5263,0.6316,9.2989,18.35,Stable,>10 h,0.8204467406943394,0.5075875305981336
buried_6_model_7,Conditional_selected,buried_6_model_7_9,buried_6_model_7_b0_d9,10,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,87.5,0.5909,0.4436,0.5188,29.92,Stable,2 min,0.9164910847137328,0.5704427233674189
buried_6_model_8,Conditional_selected,buried_6_model_8_8,buried_6_model_8_b0_d8,9,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,92.3077,0.5333,0.4962,0.5772,36.51,Stable,>10 h,0.749283469578062,0.2907628513642091
buried_7_model_0,Conditional_selected,buried_7_model_0_2,buried_7_model_0_b0_d2,3,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,75.0,0.4545,0.5474,0.4864,18.64,Stable,>10 h,0.9047010188952458,0.5330720952726509
buried_7_model_2,Conditional_selected,buried_7_model_2_3,buried_7_model_2_b0_d3,4,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,76.1905,0.3478,0.3942,0.4214,36.76,Stable,>10 h,0.9173375017693424,0.5550835353103334
buried_7_model_7,Strict_selected,buried_7_model_7_4,buried_7_model_7_b0_d4,5,1,3,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5833,0.438,0.5188,37.22,Stable,>10 h,0.8922033751035151,0.3687821691881784
buried_7_model_9,Strict_selected,buried_7_model_9_3,buried_7_model_9_b0_d3,4,1,2,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.65,0.5474,0.7848,30.95,Stable,>10 h,0.8285897531641547,0.4520223649341653
buried_8_model_1,Strict_selected,buried_8_model_1_7,buried_8_model_1_b0_d7,8,1,4,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5263,0.4583,0.795,34.06,Stable,>10 h,0.7214463807919241,0.3977140266108417
buried_8_model_2,Conditional_selected,buried_8_model_2_6,buried_8_model_2_b0_d6,7,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,91.3043,0.4583,0.5417,0.5804,28.31,Stable,>10 h,0.8437484540102871,0.4638553419802573
buried_8_model_3,Conditional_selected,buried_8_model_3_3,buried_8_model_3_b0_d3,4,0,4,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,93.3333,0.4737,0.5347,0.4989,35.2,Stable,2 min,0.8895028980733789,0.5724415495243841
buried_8_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_5_6,buried_8_model_5_3,1,66.6667,0.5263,0.6042,1.0668,23.47,Stable,>10 h,0.8358192864989007,0.3352322054677725
buried_8_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_7_3,buried_8_model_7_2,8,100.0,0.3333,0.5417,0.9949,29.96,Stable,>10 h,0.8904848096382274,0.5664708658912188
buried_8_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_8_5,,7,94.1176,0.2381,0.3611,0.3291,32.28,Stable,>10 h,0.9162583716556916,0.6278633194542667
buried_8_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_9_6,buried_8_model_9_7,1,75.0,0.4737,0.5208,1.7908,28.74,Stable,>10 h,0.7366198117965391,0.4682849609211866
buried_9_model_3,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_9_model_3_2,buried_9_model_3_9,2,46.6667,0.619,0.553,4.5737,22.6,Stable,>10 h,0.7946010728439383,0.4208959721003555
